"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"29.12.2022","37,21","37,25","37,48","36,62","7,89M","-0,11%"
"28.12.2022","37,25","35,68","37,49","35,58","10,78M","4,69%"
"27.12.2022","35,58","35,69","35,87","35,21","12,63M","0,40%"
"26.12.2022","35,44","35,20","35,58","35,00","4,15M","-0,14%"
"23.12.2022","35,49","35,95","36,05","35,36","7,40M","0,65%"
"22.12.2022","35,26","36,19","36,25","34,62","13,67M","-1,04%"
"21.12.2022","35,63","36,32","36,75","35,16","10,71M","-0,64%"
"20.12.2022","35,86","35,68","36,19","35,40","12,80M","0,22%"
"19.12.2022","35,78","35,42","35,85","35,16","9,26M","1,22%"
"16.12.2022","35,35","35,39","35,53","34,95","14,96M","-1,17%"
"15.12.2022","35,77","35,93","36,35","35,31","9,11M","-1,13%"
"14.12.2022","36,18","34,89","36,57","34,70","19,39M","3,70%"
"13.12.2022","34,89","35,06","35,50","34,39","13,98M","0,72%"
"12.12.2022","34,64","33,40","34,99","32,77","12,62M","2,94%"
"09.12.2022","33,65","33,30","33,85","33,16","9,61M","1,45%"
"08.12.2022","33,17","33,00","33,81","32,72","16,27M","1,53%"
"07.12.2022","32,67","34,39","34,47","32,19","22,03M","-5,69%"
"06.12.2022","34,64","35,60","36,67","33,90","14,71M","-3,83%"
"05.12.2022","36,02","37,11","37,36","35,73","7,38M","-1,83%"
"02.12.2022","36,69","36,91","37,60","36,13","7,29M","-0,03%"
"01.12.2022","36,70","36,10","37,29","36,00","11,70M","1,80%"
"30.11.2022","36,05","35,98","36,60","35,23","16,83M","2,18%"
"29.11.2022","35,28","35,49","35,85","35,24","10,08M","1,09%"
"28.11.2022","34,90","33,86","35,19","33,70","10,61M","0,72%"
"25.11.2022","34,65","36,65","36,85","34,24","9,83M","-5,09%"
"24.11.2022","36,51","35,40","36,71","35,12","8,93M","3,52%"
"23.11.2022","35,27","34,98","36,00","34,74","13,81M","-0,56%"
"22.11.2022","35,47","34,96","35,99","34,83","13,52M","2,84%"
"21.11.2022","34,49","34,33","34,86","32,86","16,01M","-0,03%"
"18.11.2022","34,50","36,10","36,45","34,25","18,50M","-3,63%"
"17.11.2022","35,80","35,21","35,80","34,20","21,67M","-1,30%"
"16.11.2022","36,27","38,57","38,65","35,34","20,82M","-5,79%"
"14.11.2022","38,50","37,90","39,25","37,46","14,15M","2,12%"
"11.11.2022","37,70","36,91","38,30","36,91","16,44M","3,06%"
"10.11.2022","36,58","37,00","37,34","36,03","14,01M","-1,72%"
"09.11.2022","37,22","37,20","38,75","36,95","16,11M","-0,56%"
"08.11.2022","37,43","36,25","37,65","35,99","10,54M","2,77%"
"07.11.2022","36,42","37,59","37,60","36,33","11,51M","-3,27%"
"04.11.2022","37,65","37,82","38,75","37,26","15,46M","2,48%"
"03.11.2022","36,74","36,87","37,39","36,25","13,26M","-1,05%"
"01.11.2022","37,13","36,58","37,78","36,12","22,36M","4,92%"
"31.10.2022","35,39","33,70","35,54","33,39","12,75M","4,03%"
"28.10.2022","34,02","33,33","34,27","33,26","6,77M","1,22%"
"27.10.2022","33,61","33,39","34,25","33,29","10,52M","0,84%"
"26.10.2022","33,33","33,95","34,34","33,17","11,13M","-1,36%"
"25.10.2022","33,79","33,30","34,25","33,11","8,95M","0,90%"
"24.10.2022","33,49","33,46","34,00","33,11","5,14M","-1,06%"
"21.10.2022","33,85","33,09","34,08","33,09","9,67M","1,93%"
"20.10.2022","33,21","33,90","33,99","32,80","9,58M","-0,66%"
"19.10.2022","33,43","32,31","33,64","31,96","13,84M","3,72%"
