Date;Open;High;Low;Close;Adj Close;Volume
2015-01-02;4,60E+16;4,67E+16;4,40E+15;4,40E+15;4,40E+15;8400000
2015-01-05;4,36E+15;4,38E+16;4,07E+16;4,07E+16;4,07E+16;19120000
2015-01-06;4,07E+16;4,19E+15;3,67E+14;3,67E+14;3,67E+14;21540000
2015-01-07;375;3,89E+15;3,65E+16;3,66E+15;3,66E+15;15010000
2015-01-08;3,83E+14;3,83E+14;3,65E+16;3,78E+15;3,78E+15;16220000
2015-01-09;3,67E+14;4,85E+16;3,67E+14;4,38E+16;4,38E+16;106580000
2015-01-12;4,34E+15;4,37E+16;3,79E+15;3,79E+15;3,79E+15;85260000
2015-01-13;3,82E+16;3,95E+16;3,71E+15;3,73E+16;3,73E+16;31610000
2015-01-14;3,71E+15;375;3,37E+15;3,45E+15;3,45E+15;21770000
2015-01-15;3,60E+16;3,63E+15;3,38E+16;3,46E+16;3,46E+16;16720000
2015-01-16;3,62E+15;3,62E+15;3,16E+15;3,18E+15;3,18E+15;45530000
2015-01-19;3,15E+15;3,22E+16;2,85E+15;2,86E+16;2,86E+16;48310000
2015-01-20;3,04E+16;3,43E+16;3,04E+16;3,26E+16;3,26E+16;123160000
2015-01-21;3,67E+14;4,43E+15;3,54E+15;4,43E+15;4,43E+15;177480000
2015-01-22;5;6,78E+15;5;6,29E+15;6,29E+15;248130000
2015-01-23;5;7,70E+15;5;6,28E+14;6,28E+14;305020000
2015-01-26;6,00E+15;6,83E+15;5,74E+15;5,74E+15;5,74E+15;194020000
2015-01-27;5,62E+15;5,80E+15;4,41E+15;4,41E+15;4,41E+15;255950000
2015-01-28;4,54E+16;4,82E+15;4,06E+15;4,30E+15;4,30E+15;156750000
2015-01-29;4,29E+16;4,45E+15;3,87E+15;4,04E+16;4,04E+16;133500000
2015-01-30;4,05E+15;4,12E+16;3,73E+16;3,90E+16;3,90E+16;58050000
2015-02-02;3,95E+16;4,86E+15;3,85E+16;4,82E+15;4,82E+15;131150000
2015-02-03;5,35E+15;5,77E+15;4,95E+15;4,99E+16;4,99E+16;190370000
2015-02-04;5,18E+15;5,37E+15;4,91E+15;5;5;84040000
2015-02-05;5;5,20E+15;4,99E+16;5,02E+15;5,02E+15;32910000
2015-02-06;5;5,08E+15;4,73E+15;4,78E+15;4,78E+15;41420000
2015-02-09;4,65E+15;5,12E+15;4,65E+15;4,91E+15;4,91E+15;30620000
2015-02-10;5;5,07E+15;4,80E+16;4,86E+15;4,86E+15;14690000
2015-02-11;4,86E+15;5,02E+15;4,65E+15;4,79E+15;4,79E+15;22640000
2015-02-12;4,84E+16;5,13E+15;4,84E+16;4,90E+16;4,90E+16;57400000
2015-02-13;5,02E+15;5,53E+15;5,02E+15;5,43E+15;5,43E+15;85420000
2015-02-18;5,52E+15;5,97E+14;5,48E+15;5,55E+15;5,55E+15;46390000
2015-02-19;5,69E+15;5,69E+15;5,39E+15;5,53E+15;5,53E+15;31810000
2015-02-20;5,69E+15;5,75E+14;5,46E+15;5,60E+15;5,60E+15;40450000
2015-02-23;5,54E+15;5,70E+15;5,48E+15;5,57E+15;5,57E+15;20660000
2015-02-24;5,61E+15;5,69E+15;5,50E+14;5,60E+15;5,60E+15;24390000
